TITLE;AUTHORS
Lexical Similarity based on Quantity of Information Exchanged - Synonym Extraction;Ngoc-Diep Ho  Fairon C�drick
Effective Implementation of Cycle Time Reduction . . . ;Joerg Domaschke Steven Brown et al.
Market InstitutionsTransaction Costs and Social Capital in the Ethiopian Grain Market;Eleni Z. Gabre-madhin Eleni Z. Gabre-madhin Figures Vii Foreword Ix
P2P the Gorilla in the Cable;Alexandre Gerber Joseph Re Gerber Joseph Houle Han Nguyen Matthew Roughan Subhabrata Sen
Dynamic Allocation Indices For Restless Projects And Queueing Admission Control: A Polyhedral Approach;Jose Nino-Mora
Feedback Controlled Software Systems;William B. Dunbar   Eric Klavins Stephen Waydo
Polarization Rotation over Cosmological Distances as a Probe to New Physics;C. Wolf
Automated Service Integration for Crisis Management;Alan Berfield Panos Panos K. Chrysanthis Ros Labrinidis
Almost ASAP Semantics: From Timed Models to Timed Implementations;Martin De Wulf Laurent Doyen Jean-fran�ois Raskin
The Formation of Networks with Transfers among Players;Francis Bloch Matthew O. Jackson
Time Patterns in Visual Reception and Written Phrase Production;Philip Cummins Boris Gutbrod  R�diger Weingarten
ASAP2: An Improved . . . ;Natalie M. Steiger Christos Alexopoulos David Goldsman et al.
The ways to improve intelligence of interacting agents;Supervisor Prof Aaron Sloman Marek Kopicki Marek Kopicki
Stratum Approaches to Temporal DBMS Implementation;Kristian Torp Christian S. Jensen
Understanding Ontologies in Scholarly Disciplines;Brian R Gaines
The Finite Ridgelet Transform for Image Representation;Minh N. Do Martin Vetterli
Query Plans for Conventional and Temporal Queries Involving Duplicates and Ordering;Giedrius Slivinskas  Christian S. Jensen Richard T. Snodgrass
  Types and Roles of Ontologies in Web Information Extraction;Martin Labsky Vojt?ch Sv�tek Ondrej Sv�b 
Genome Informatics 14: 238--249 (2003) Docking Unbound Proteins with MIAX: A Novel;Algorithm For Protein-Protein Carlos A. Del Carpio Mu�oz Tobias Peissker Atsushi Yoshimori Eiichiro Ichiishi
Low-Complexity Video Coding for Receiver-Driven Layered Multicast;Steven Mccanne Martin Vetterli  Van Jacobson
Congestion Control via Online Sampling;Gang Wu  Edwin K. P. Chong  Robert Givan
Building Polygonal Maps from Laser Range Data;Longin Jan Latecki  Rolf Lakaemper  Xinyu Sun  Diedrich Wolter
Storage and Retrieval of First Order Logic Terms In a Database; Peter Gursky
Signal Processing With Factor Graphs: Examples;Hans-andrea Loeliger  Justin Dauwels Volker M. Koch  Sascha Korl
Teachers Perceptions of Professional Identity: An Exploratory Study From a Personal Knowledge Perspective;Douwe Beijaard Nico Verloop Jan D. Vermunt
Layered MPEG4 Video Signals for Real-time Mobile Streaming Applications Authors:;Francesco G. B De Natale Claudio Sacchi Claudio Sacchi Nicola Conci Nicola Conci Giovanni Berl Giovanni Berl A Scorza A Scorza Francesco G. B. De
Analog Integrated Circuits and Signal Processing 30 69--81 2002;An Mhz Th-Order Hanspeter Schmid
December 2000 CSTR-00-018;University Of Bristol Peter A. Flach Peter A. Flach
Drift-Controlled Scalable Video Coding In Over-Complete Wavelet Domain;Vidhya Seran  Lisimachos P. Kondi
Limit Theorems For Continuous Time Random Walks With Infinite Mean Waiting Times;Mark M. Meerschaert Hans-Peter Scheffler
Conceptual Modeling of Time-Varying Information; Heidi Gregersen Christian S. Jensen
Comments Received on DRAFT ANS X9.82 Random Number Generation;
Simulation Modeling at . . . ;P. Benjamin et al.
Quality of Service Adaptation in Data Stream Management Systems: A Control-Based Approach;Yi-Cheng Tu Yuni Xia Sunil Prabhakar
Business process modelling and . . . ;Vlatka Hlupic Stweart Robinson
Individuality of Numerals;Sargur Srihari Catalin Sargur N. Srihari Catalin I. Tomai Bin Zhang Sangjik Lee
Corpus-Based Terminology Extraction Applied to Information Access;Anselmo Penas Felisa Verdejo Julio Gonzalo
Experimental Studies of Data Transport and Data;Access Of Earth Robert L. Grossman Yunhong Gu David Hanley Xinwei Hong Parthasarathy Krishnaswamy
Retrieving Japanese specialized terms and corpora from the World Wide Web;Marco Baroni  Motoko Ueyama
Energy-Balanced Task Allocation for Collaborative Processing in Wireless Sensor Networks;Yang Yu Viktor K. Prasanna
A Model-driven Development Environment for Composing and Validating Distributed Real-time and Embedded Systems: A Case Study;Gabriele A. Trombetti Aniruddha Gokhale Douglas C. Schmidt
Finding Optimal Views for 3D Face Shape Modeling;Jinho Lee Baback Jinho Lee Baback Moghaddam Hanspeter Pfister Raghu Machiraju
Generic Simulation Models of Reusable Launch Vehicles;E. Y�cesan C. -h. Chen J. L. Snowdon J. M. Charnes Martin Steele
Proceedings of the 2002 Winter Simulation Conference;Ycesan Chen Snowdon E. Y�cesan C. -h. Chen J. L. Snowdon J. M. Charnes
Blow-up and stability of semilinear PDEs with gamma generator;Jose Alfredo Lopez-Mimbela  Nicolas Privault
A New GPCA Algorithm for Clustering Subspaces by Fitting Differentiating and Dividing Polynomials;Rene Vidal Yi Ma Jacopo Piazzi
Performance Investigation of an On-Line;Auction System Jane Jane Hillston Le�la Kloul
A Performance Comparison of NFS and iSCSI for IP-Networked Storage;Peter Radkov  Li Yin  Pawan Goyal Prasenjit Sarkar Prashant Shenoy
A Comparative Analysis Of Two Approaches Using The Road;Network For Tracking St�phane Gattein Patrick Vannoorenberghe
Long Range Contacts in Overlay Networks with Unbalanced Node Distribution;Filipe Araujo Filipe Ara�jo  Luis Rodrigues Lu�s Rodrigues
Transaction Patterns;Collection Of Four Figure Pattern Map
On the Adequateness of Emergency Exit Panel And Corridor . . . ;E. Lazkano A. Astigarraga B. Sierra I. Ra��
A General Theory for the Evolution of Application Models;H.A. Proper  Th.P. van der Weide 
Exploring Case-Based Bayesian Networks and Bayesian Multi-nets for Classification;Ahmed Hussein  Eugene Santos Jr.
Diagnosing Network-Wide Traffic Anomalies;Anukool Lakhina  Mark Crovella  Christophe Diot
IEEE COMMUNICATIONS LETTERS VOL. 3 NO. 3 MARCH 1999 57 Average SNR of a Generalized Diversity;Selection Combining Scheme Ning Kong Laurence B. Milstein
Improving Spatial Reuse of IEEE 802.11 Based;Ad Hoc Networks
An Experimental Analysis Of Cryptographic Overhead In;Performance-Critical Systems William William Freeman Ethan Miller
Informedia at PDMC;Wei-Hao Lin Whlin Wei-hao Lin Alexander Hauptmann
Team Dynamo-Pavlov Uppsala;Paul Pettersson Olle G�llmo Pahram Azimi Rani Khalil Martin Tillenius Arsenij Vodjanov Samuel Waxin
Spectral LPM: An Optimal Locality-Preserving Mapping using the Spectral (not Fractal) Order;Mohamed Mokbel Walid Walid G. Aref Ananth Grama
Human Evaluation of Kea an Automatic Keyphrasing System;Steve Jones  Gordon W. Paynter
Mapping physical artifacts to their Web counterparts: A Case Study;Greg Murdoch  Nicholas Kushmerick
A Multiple-objectives Evolutionary Perspective to Interdomain Traffic Engineering;Steve Uhlig
Enabling Knowledge Representation on the Web by Extending RDF Schema;Jeen Broekstra Michel Klein Stefan Decker Dieter Fensel Frank van Harmelen Ian Horrocks
Resilience for Autonomous Agents;Matthew M. Williamson Miranda Mowbray A Mowbray Matthew Williamson
Systematic Change Management in Dimensional Data Warehousing;R. Bliujute S. Saltenis G. Slivinskas C. S. Jensen
Construction of Equiangular Signatures for Synchronous CDMA Systems;Robert W. Heath Jr.  Joel A. Tropp et al.
Genome Informatics 14: 553--554 (2003) 553 A Consensus Transmembrane Topology Prediction;Method Of High-Reliability Jun-xiong Xia Toshio Shimizu
Papyrus: A System for Data Mining over Local and Wide Area Clusters and Super-Clusters;S. Bailey  Robert Grossman A. Ramu B. Malhi  H. Sivakumar H. Sivakumar  A. Turinsky A. Turinsky Papyrus A
Spacewalker: Automated Design Space Exploration for;Embedded Computer Systems Greg Snider
Blind Iterative Decision Feedback Equalizers for Block QAM Transmission Systems;Roberto Lopez-Valcarce
Proceedings of the 2002 Winter Simulation Conference;Ycesan Chen Snowdon E. Y�cesan C. -h. Chen J. L. Snowdon J. M. Charnes
Predictable Configuration Management in a Randomized Scheduling Framework;Mark Burgess  Frode Eika Sandnes Frode Eika S
Geometric Travel Planning;Stefan Edelkamp  Shahid Jabbar Thomas Willhalm 
Rate Quantization and Service Quality over Single Crossbar Switches;Can Emre Koksal  Robert G. Gallager Charles E. Rohrs
Beyond Prototypes: Challenges in Deploying Ubiquitous Systems;Nigel Davies Hans-werner Gellersen
Retrieving ClipArt Images by Content;Manuel Fonseca Barroso Manuel J. Fonseca B. Barroso P. Ribeiro Joaquim A. Jorge
dPAM: A Distributed Prefetching Protocol for Scalable Asynchronous Multicast in P2P Systems;Abhishek Sharma Azer Bestavros Ibrahim Matta
Efficient Simulations for . . . ;Jeremy Staum
An In-Silico Method for Prediction of Polyadenylation Signals in Human Sequences;Huiqing Liu Hao Han Jinyan Li Limsoon Wong
Using Formal Tools to Study Complex Circuits Behaviour;Paul Amblard Tima-Cmp Paul Amblard Fabienne Lagnier Michel L�vy Universit� Joseph Fourier
Estimation of DeltaSigma converter spectrum;Emilia Nunzi Paolo Carbone Dario Petri E. Nunzi P. Carbone D. Petri
Uncertain Reasoning and Forecasting;Paul Dagum  Adam Galper Eric Horvitz Adam Seiver
Detection of Matrices and Segmentation of Matrix Elements;In Scanned Images Kanahori Toshihiro
Symbolic Modeling of Structural Relationships in the Foundational Model of Anatomy;Jose L.V. Mejino  Jr.  Cornelius Rosse D. Sc
Mayday: Distributed Filtering for Internet Services;David G. Andersen  
Improving Throughput and Maintaining Fairness Using Parallel Tcp;Thomas J. Hacker  Brian D. Noble  Brian D. Athey
Specialized Search in Linguistics and Languages;Zhiping Zheng And Zhiping Zheng Gregor Erbach
Dynamic Coupling of Binary Components and its Technical Support;Dirk Heuzeroth Ralf H. Reussner
Agriculture Diversification in South Asia: Patterns Determinants and Policy Implications;P.K. Joshi Ashok Gulati Pratap S. Birthal Laxmi Tewari
Steps Towards a Cognitive Vision System;H.-H. Nagel
Report on the TREC 2003 Experiment: Genomic Track;Patrick Ruch Patrick Ruch Ab  Christine Chichester  Gilles Cohen  Giovanni Coray  Frederic Ehrler  Hatem Ghorbel  Henning M�ller  Vincenzo Pallotta
Parameter Estimation In Pairwise Markov Fields;Dalila Benboudjema Wojciech Pieczynski
Web Data Integration for E-Commerce Applications;Wilhelm Hasselbring
Achieving Proportional Delay Differentiation in Wireless LAN via Cross-Layer Scheduling;Yuan Xue Kai Chen Klara Nahrstedt
Solving Factored MDPs with Continuous and Discrete Variables;Carlos Guestrin  Milos Hauskrecht Branislav Kveton
Multiscale analysis of the healthcare and public health system: Organizing for achieving both effectiveness and efficiency;Yaneer Bar-Yam
Reducing TCB size by using untrusted components -- small kernels versus virtual-machine monitors;Michael Hohmuth Michael Peter Hermann H�rtig  Jonathan S. Shapiro
Eulerian Derivation Of The Fractional Advection-Dispersion Equation;Rina Schumer  David A. Benson  Mark M. Meerschaert  Stephen W. Wheatcraft
Sequence Types for the pi-calculus;Sergio Maffeis
Proceedings of the 1998 Winter Simulation Conference;Ed Medeiros Watson
Optimal CDMA Signatures: A Finite-Step Approach;Joel A. Tropp  Inderjit. S. Dhillon
Signal Integrity: Fault Modeling and Testing in High-Speed SoCs ; Mehrdad Nourani Amir Attarha 
Studying Cooperation and Conflict between Authors with History Flow Visualizations;Fernanda B. Vi�gas Martin Wattenberg Kushal Dave
Geometrical and Performance Analysis of;Gmd And Chase Eran Fishler Student Member Ofer Amrani Senior Member
� 2003 The Company of Biologists Ltd;Although The Systemic P. V. Skov J. F. Steffensen
The Management and Mining of Multiple Predictive Models Using the Predictive Modeling Markup Language (PMML);Robert Grossman National Robert Grossman Stuart Bailey Ashok Ramu Balinder Malhi Philip Hallstrom Ivan Pulleyn Xiao Qin
A Biospi Model Of Lymphocyte-Endothelial;Interactions In Inflamed P. Lecca C. Priami C. Laudanna G. Constantin
A Practical Learning-Based Approach for Dynamic Storage Bandwidth Allocation;Vijay Sundaram Prashant Shenoy
Maximizing Throughput for Optical Burst Switching Networks;Jikai Li  Chunming Qiao Jinhui Xu Dahai Xu
Routing Complexity of Faulty Networks;Omer Angel  Itai Benjamini Eran Ofek  Udi Wieder
Efficient and Flexible Parallel Retrieval Using Priority Encoded Transmission;Ramaprabhu Janakiraman  Lihao Xu
The Impact of Concurrency Gains on the Analysis and Control of Multi-threaded Internet Services;Hani Jamjoom Chun-ting Chou Kang G. Shin
Exploiting the Cache Capacity of a Single-Chip Multi-Core Processor with Execution Migration;Pierre Michaud
Robustness of Class-Based Path-Vector Systems;Aaron D. Jaggard  Vijay Ramachandran
CODEX: A Robust and Secure Secret Distribution System;Michael A. Marsh  Fred B. Schneider
Identifying Good Predictions of RNA Secondary Structure;M. E. Nebel
Exact Power Estimation Using Word Level Transition Probabilities;Ana T. Freitas  Arlindo L. Oliveira  Jose C. Monteiro  Horacio C. Neto
A Study about Trade-off between Performance and Security in an Internet Audio Mechanism;Alessandro Aldini Roberto Gorrieri
Proceedings of the 2003 Winter Simulation Conference;Chick Snchez Ferrin S. Chick P. J. S�nchez D. Ferrin D. J. Morrice
Investigating Swirl and Tumble Flow with a Comparison of Visualization Techniques;Robert S. Laramee  Daniel Weiskopf  J�rgen Schneider Helwig Hauser
The KGP Model of Agency;Antonis Kakas  Paolo Mancarella Fariba Sadri Kostas Stathis Francesca Toni
Verification of Parallel Systems via Decomposition;Jan Friso Groote Faron Moller
International Affairs Portal: A Semantic Web Application;J.  Contreras    V. R. Benjamins  et al.
Referencing Objects in FIPA SL: An Analysis and Proposal;Stephen Cranefield  Martin Purvis
Towards More Effective Techniques for Automatic Query Expansion;Claudio Carpineto Giovanni Romano
Rainbow: Distributed Database System for Classroom Education And Experimental Research;Abdelsalam (Sumi) Helal Hua Li
A Tool for Writing and Debugging Algebraic Specifications;J. Henkel A. Diwan
Commander Behavior and Course of Action . . . ;Deborah Vakas John Prince H. Ric Blacksten Chuck Burdick
Study of an Ergodicity . . . ;John B. Gilmer Jr. Frederick J. Sullivan
A New Proof for the Stability of Equation-Error Models;Roberto Lopez-Valcarce Student Member  Soura Dasgupta
Is Increased Diversity in Genetic Programming Beneficial? An Analysis of Lineage Selection;Edmund K. Burke  Steven Gustafson  Graham Kendall  Natalio Krasnogor Edmund K. Burke Steven Gustafson
Statistical Region Merging;Richard Nock  Frank Nielsen
A Unified Approach to Discrete and Continuous High-Gain Adaptive Controllers Using Time Scales;Ian A. Gravagne  John M. Davis Jeffrey  Jeffrey J. Dacunha
Constructive Induction Using;Non-Greedy Strategy For Arlindo L. Oliveira
Proceedings of the 2002 Winter Simulation Conference;Ycesan Chen Snowdon E. Y�cesan C. -h. Chen J. L. Snowdon J. M. Charnes Bridges Using Discrete-event Simulation Srinath Devulapalli Julio C. Martinez Jesus M. De La Garza
Achieving Privacy Preservation When Sharing Data for Clustering;Stanley R. M. Oliveira Osmar R. Za�ane
A Bayesian Blackboard for Information Fusion;Charles Sutton Clayton Morrison Paul R. Cohen Joshua Moody Jafar Adibi
The Coda Mirror;Philippe Segeral Tobias Scheer
Reliable Objects: a Lightweight Approach Applied to Java;Jean-Marc Jezequel  Daniel Deveaux  Yves Le Traon
More Things Than Are Dreamt of in Your Biology: Information-processing in biologically-inspired robots;A. Sloman  R.L. Chrisley
Probing-Based Preprocessing Techniques for Propositional Satisfiability;In�s Lynce  Jo�o Marques-Silva
A Framework for Providing Electronic Payment Services;Martina Kannen  Martin Leischner Torsten Stein
Finding Optimal Pairs of Patterns;Hideo Bannai Heikki Hyyr� Ayumi Shinohara Masayuki Takeda Kenta Nakai  Satoru Miyano
Protein Secondary Structure: Entropy Correlations And Prediction;Gavin E. Crooks Steven E. Brenner
Spontaneous Branching in a Polyp Oriented;Model Of Stony Alfons Hoekstra Jaap Ka Peter Sloot
Query Brokers for Distributed and Flexible Query Evaluation;Tuyet-Trinh Vu  Christine Collet
